nome,latitude,longitude,cep,estado,uf
Condor,"-28,1926","-53,4926",98290-000,Rio Grande do Sul,RS
Constantina,"-27,735","-52,991944",98290-000,Rio Grande do Sul,RS
Coqueiro Baixo,"-29,177778","-52,092778",98290-000,Rio Grande do Sul,RS
Coqueiros do Sul,"-28,1368","-52,7614",99528-000,Rio Grande do Sul,RS
Coronel Barros,"-28,3945","-54,0637",98735-000,Rio Grande do Sul,RS
Coronel Bicaco,"-27,7995","-53,6531",98580-000,Rio Grande do Sul,RS
Coronel Pilar,"-29,272778","-51,686944",98580-000,Rio Grande do Sul,RS
Cotiporã,"-29,0072","-51,6953",95335-000,Rio Grande do Sul,RS
Coxilha,"-28,1033","-52,3658",99145-000,Rio Grande do Sul,RS
Crissiumal,"-27,4809","-54,1417",98640-000,Rio Grande do Sul,RS
Cristal,"-31,0245","-52,0293",96195-000,Rio Grande do Sul,RS
Cristal do Sul,"-27,4251","-53,2436",98368-000,Rio Grande do Sul,RS
Cruz Alta,"-28,638611","-53,606389",98368-000,Rio Grande do Sul,RS
Cruzaltense,"-27,667778","-52,648889",98368-000,Rio Grande do Sul,RS
Cruzeiro do Sul,"-29,5671","-52,0304",95930-000,Rio Grande do Sul,RS
David Canabarro,"-28,4178","-51,8168",99980-000,Rio Grande do Sul,RS
Derrubadas,"-27,2503","-53,8841",98528-000,Rio Grande do Sul,RS
Dezesseis de Novembro,"-28,1913","-55,0755",97845-000,Rio Grande do Sul,RS
Dilermando de Aguiar,"-29,806","-54,154",97180-000,Rio Grande do Sul,RS
Dois Irmãos,"-29,6116","-51,0933",93950-000,Rio Grande do Sul,RS
Dois Irmãos das Missões,"-27,6812","-53,5148",98385-000,Rio Grande do Sul,RS
Dois Lajeados,"-28,9709","-51,8497",99220-000,Rio Grande do Sul,RS
Dom Feliciano,"-30,6139","-52,1932",96190-000,Rio Grande do Sul,RS
Dom Pedrito,"-30,9962","-54,6062",96450-000,Rio Grande do Sul,RS
Dom Pedro de Alcântara,"-29,3568","-49,8729",95568-000,Rio Grande do Sul,RS
Dona Francisca,"-29,5868","-53,3396",97280-000,Rio Grande do Sul,RS
Doutor Maurício Cardoso,"-27,4954","-54,364",98925-000,Rio Grande do Sul,RS
Doutor Ricardo,"-29,1012","-51,9744",95967-000,Rio Grande do Sul,RS
Eldorado do Sul,"-30,089","-51,534",92990-000,Rio Grande do Sul,RS
Encantado,"-29,2002","-51,9255",95960-000,Rio Grande do Sul,RS
Encruzilhada do Sul,"-30,6037","-52,6828",96610-000,Rio Grande do Sul,RS
Engenho Velho,"-27,677","-52,9104",99698-000,Rio Grande do Sul,RS
Entre Rios do Sul,"-27,5082","-52,7285",99645-000,Rio Grande do Sul,RS
Entre-Ijuís,"-28,4607","-54,3032",98855-000,Rio Grande do Sul,RS
Erebango,"-27,8256","-52,3191",99920-000,Rio Grande do Sul,RS
Erechim,"-27,633889","-52,273889",99700-000,Rio Grande do Sul,RS
Ernestina,"-28,498889","-52,572778",99140-000,Rio Grande do Sul,RS
Erval Grande,"-27,3614","-52,5749",99750-000,Rio Grande do Sul,RS
Erval Seco,"-27,4943","-53,5279",98390-000,Rio Grande do Sul,RS
Esmeralda,"-28,053889","-51,19",95380-000,Rio Grande do Sul,RS
Esperança do Sul,"-27,321","-54,0111",98635-000,Rio Grande do Sul,RS
Espumoso,"-28,725","-52,85",99400-000,Rio Grande do Sul,RS
Estação,"-27,9356","-52,2952",99930-000,Rio Grande do Sul,RS
Estância Velha,"-29,6546","-51,1978",93600-000,Rio Grande do Sul,RS
Esteio,"-29,8501","-51,1662",93250-000,Rio Grande do Sul,RS
Estrela,"-29,5122","-51,9372",95880-000,Rio Grande do Sul,RS
Estrela Velha,"-29,2236","-53,1708",96990-000,Rio Grande do Sul,RS
Eugênio de Castro,"-28,5718","-54,2658",98860-000,Rio Grande do Sul,RS
Fagundes Varela,"-28,8813","-51,7286",95333-000,Rio Grande do Sul,RS
Farroupilha,"-29,1878","-51,3402",95180-000,Rio Grande do Sul,RS
Faxinal do Soturno,"-29,572","-53,4733",97220-000,Rio Grande do Sul,RS
Faxinalzinho,"-27,3718","-52,669",99655-000,Rio Grande do Sul,RS
Fazenda Vilanova,"-29,5982","-51,8424",95875-000,Rio Grande do Sul,RS
Feliz,"-29,4546","-51,2778",95770-000,Rio Grande do Sul,RS
Flores da Cunha,"-29,0258","-51,2458",95270-000,Rio Grande do Sul,RS
Floriano Peixoto,"-27,8524","-52,0336",99910-000,Rio Grande do Sul,RS
Fontoura Xavier,"-29,0105","-52,3677",99370-000,Rio Grande do Sul,RS
Formigueiro,"-29,9694","-53,4674",97210-000,Rio Grande do Sul,RS
Forquetinha,"-29,381944","-52,090833",97210-000,Rio Grande do Sul,RS
Fortaleza dos Valos,"-28,9127","-53,3389",98125-000,Rio Grande do Sul,RS
Frederico Westphalen,"-27,3245","-53,3541",98400-000,Rio Grande do Sul,RS
Garibaldi,"-29,255833","-51,533889",95720-000,Rio Grande do Sul,RS
Garruchos,"-28,256","-55,5156",97690-000,Rio Grande do Sul,RS
Gaurama,"-27,6169","-52,104",99830-000,Rio Grande do Sul,RS
General Câmara,"-29,8392","-51,9472",95820-000,Rio Grande do Sul,RS
Gentil,"-28,388","-52,0493",99160-000,Rio Grande do Sul,RS
Getúlio Vargas,"-27,8741","-52,1653",99900-000,Rio Grande do Sul,RS
Giruá,"-28,0105","-54,3046",98870-000,Rio Grande do Sul,RS
Glorinha,"-29,8568","-50,7509",94380-000,Rio Grande do Sul,RS
Gramado,"-29,3625","-50,9032",95670-000,Rio Grande do Sul,RS
Gramado dos Loureiros,"-27,4544","-52,9171",99605-000,Rio Grande do Sul,RS
Gramado Xavier,"-29,2866","-52,612",96875-000,Rio Grande do Sul,RS
Gravataí,"-29,9091","-50,953",94000-000,Rio Grande do Sul,RS
Guabiju,"-28,5882","-51,6477",95355-000,Rio Grande do Sul,RS
Guaíba,"-30,1748","-51,421",92500-000,Rio Grande do Sul,RS
Guaporé,"-28,8419","-51,9188",99200-000,Rio Grande do Sul,RS
Guarani das Missões,"-28,1507","-54,6003",97950-000,Rio Grande do Sul,RS
Harmonia,"-29,5453","-51,4154",95785-000,Rio Grande do Sul,RS
Herval,"-32,023889","-53,395833",96310-000,Rio Grande do Sul,RS
Herveiras,"-29,4386","-52,6737",96888-000,Rio Grande do Sul,RS
Horizontina,"-27,5809","-54,3051",98920-000,Rio Grande do Sul,RS
Hulha Negra,"-31,572","-53,8627",96460-000,Rio Grande do Sul,RS
Humaitá,"-27,5856","-53,9963",98670-000,Rio Grande do Sul,RS
Ibarama,"-29,4089","-53,1825",96925-000,Rio Grande do Sul,RS
Ibiaçá,"-28,1047","-51,8028",99940-000,Rio Grande do Sul,RS
Ibiraiaras,"-28,3873","-51,6271",95305-000,Rio Grande do Sul,RS
Ibirapuitã,"-28,617","-52,4708",99320-000,Rio Grande do Sul,RS
Ibirubá,"-28,5833","-53,1812",98200-000,Rio Grande do Sul,RS
Igrejinha,"-29,5607","-50,7665",95650-000,Rio Grande do Sul,RS
Ijuí,"-28,387778","-53,915",98700-000,Rio Grande do Sul,RS
Ilópolis,"-28,9169","-52,1481",95990-000,Rio Grande do Sul,RS
Imbé,"-29,9272","-50,1283",95625-000,Rio Grande do Sul,RS
Imigrante,"-29,355","-51,776944",95885-000,Rio Grande do Sul,RS
Independência,"-27,8933","-54,1978",98915-000,Rio Grande do Sul,RS
Inhacorá,"-27,9144","-54,0379",98765-000,Rio Grande do Sul,RS
Ipê,"-28,7162","-51,2779",95240-000,Rio Grande do Sul,RS
Ipiranga do Sul,"-27,9421","-52,4307",99925-000,Rio Grande do Sul,RS
Iraí,"-27,2708","-53,237",98460-000,Rio Grande do Sul,RS
Itaara,"-29,5631","-53,7458",97185-000,Rio Grande do Sul,RS
Itacurubi,"-28,7854","-55,2657",97685-000,Rio Grande do Sul,RS
Itapuca,"-28,7718","-52,2001",95997-000,Rio Grande do Sul,RS
Itaqui,"-29,1705","-56,0643",97650-000,Rio Grande do Sul,RS
Itati,"-29,488889","-50,105",97650-000,Rio Grande do Sul,RS
Itatiba do Sul,"-27,363","-52,4907",99760-000,Rio Grande do Sul,RS
Ivorá,"-29,5074","-53,5682",98160-000,Rio Grande do Sul,RS
Ivoti,"-29,5712","-51,1727",93900-000,Rio Grande do Sul,RS
Jaboticaba,"-27,6097","-53,2702",98350-000,Rio Grande do Sul,RS
Jacuizinho,"-29,033889","-53,058889",98350-000,Rio Grande do Sul,RS
Jacutinga,"-27,7747","-52,5222",99730-000,Rio Grande do Sul,RS
Jaguarão,"-32,405","-53,3323",96300-000,Rio Grande do Sul,RS
Jaguari,"-29,4524","-54,6463",97760-000,Rio Grande do Sul,RS
Jaquirana,"-28,9347","-50,3643",95420-000,Rio Grande do Sul,RS
Jari,"-29,288","-54,2978",98175-000,Rio Grande do Sul,RS
Jóia,"-28,7293","-54,1225",98180-000,Rio Grande do Sul,RS
Júlio de Castilhos,"-29,2645","-53,6246",98130-000,Rio Grande do Sul,RS
Lagoa Bonita do Sul,"-29,488889","-53,013889",98130-000,Rio Grande do Sul,RS
Lagoa dos Três Cantos,"-28,5661","-52,8465",99495-000,Rio Grande do Sul,RS
Lagoa Vermelha,"-28,208889","-51,525833",99495-000,Rio Grande do Sul,RS
Lagoão,"-29,259","-52,7669",99340-000,Rio Grande do Sul,RS
Lajeado,"-29,466944","-51,960833",95900-000,Rio Grande do Sul,RS
Lajeado do Bugre,"-27,7033","-53,2074",98320-000,Rio Grande do Sul,RS
Lavras do Sul,"-30,7621","-54,1775",97390-000,Rio Grande do Sul,RS
Liberato Salzano,"-27,5385","-53,074",99690-000,Rio Grande do Sul,RS
Lindolfo Collor,"-29,5748","-51,2279",93940-000,Rio Grande do Sul,RS
Linha Nova,"-29,4554","-51,2188",95768-000,Rio Grande do Sul,RS
Maçambará,"-29,142778","-56,065",99880-000,Rio Grande do Sul,RS
Machadinho,"-27,5918","-51,6876",99880-000,Rio Grande do Sul,RS
Mampituba,"-29,2615","-50,0107",95572-000,Rio Grande do Sul,RS
Manoel Viana,"-29,407","-55,5687",97640-000,Rio Grande do Sul,RS
Maquiné,"-29,5761","-50,2599",95530-000,Rio Grande do Sul,RS
Maratá,"-29,548889","-51,553889",95530-000,Rio Grande do Sul,RS
Marau,"-28,4422","-52,2741",99150-000,Rio Grande do Sul,RS
Marcelino Ramos,"-27,4722","-51,9448",99800-000,Rio Grande do Sul,RS
Mariana Pimentel,"-30,3022","-51,5813",92900-000,Rio Grande do Sul,RS
Mariano Moro,"-27,3501","-52,1836",99790-000,Rio Grande do Sul,RS
Marques de Souza,"-29,2733","-52,1572",95923-000,Rio Grande do Sul,RS
Mata,"-29,5489","-54,4455",97410-000,Rio Grande do Sul,RS
Mato Castelhano,"-28,2725","-52,1763",99180-000,Rio Grande do Sul,RS
Mato Leitão,"-29,5146","-52,1386",95835-000,Rio Grande do Sul,RS
Mato Queimado,"-28,255833","-54,615833",95835-000,Rio Grande do Sul,RS
Maximiliano de Almeida,"-27,588","-51,8036",99890-000,Rio Grande do Sul,RS
Minas do Leão,"-30,0719","-52,12",96755-000,Rio Grande do Sul,RS
Miraguaí,"-27,4866","-53,7555",98540-000,Rio Grande do Sul,RS
Montauri,"-28,665","-52,0539",99255-000,Rio Grande do Sul,RS
Monte Alegre dos Campos,"-28,7018","-50,804",95236-000,Rio Grande do Sul,RS
Monte Belo do Sul,"-29,1318","-51,6429",95718-000,Rio Grande do Sul,RS
Montenegro,"-29,6998","-51,4796",95780-000,Rio Grande do Sul,RS
Mormaço,"-28,69","-52,6693",99315-000,Rio Grande do Sul,RS
Morrinhos do Sul,"-29,3436","-49,9644",95577-000,Rio Grande do Sul,RS
Morro Redondo,"-31,6383","-52,6357",96150-000,Rio Grande do Sul,RS
Morro Reuter,"-29,5157","-51,0186",93990-000,Rio Grande do Sul,RS
Mostardas,"-30,9223","-50,8542",96270-000,Rio Grande do Sul,RS
Muçum,"-29,1402","-51,8233",95970-000,Rio Grande do Sul,RS
Muitos Capões,"-28,4345","-51,2469",95230-000,Rio Grande do Sul,RS
Muliterno,"-28,3123","-51,7865",99990-000,Rio Grande do Sul,RS
Não-Me-Toque,"-28,4742","-52,804",99470-000,Rio Grande do Sul,RS
Nicolau Vergueiro,"-28,5244","-52,4444",99175-000,Rio Grande do Sul,RS
Nonoai,"-27,369","-52,8759",99600-000,Rio Grande do Sul,RS
Nova Alvorada,"-28,705","-52,1662",95985-000,Rio Grande do Sul,RS
Nova Araçá,"-28,6441","-51,7349",95350-000,Rio Grande do Sul,RS
Nova Bassano,"-28,7029","-51,8054",95340-000,Rio Grande do Sul,RS
Nova Boa Vista,"-28,0089","-52,9821",99580-000,Rio Grande do Sul,RS
Nova Bréscia,"-29,213889","-52,027778",99580-000,Rio Grande do Sul,RS
Nova Candelária,"-27,5934","-54,1217",98919-000,Rio Grande do Sul,RS
Nova Esperança do Sul,"-29,3923","-54,8346",97770-000,Rio Grande do Sul,RS
Nova Hartz,"-29,5964","-50,9084",93890-000,Rio Grande do Sul,RS
Nova Pádua,"-29,0122","-51,3145",95275-000,Rio Grande do Sul,RS
Nova Palma,"-29,4071","-53,4324",97250-000,Rio Grande do Sul,RS
Nova Petrópolis,"-29,3667","-51,1027",95150-000,Rio Grande do Sul,RS
Nova Prata,"-28,7274","-51,579",95320-000,Rio Grande do Sul,RS
Nova Ramada,"-28,093","-53,695",98758-000,Rio Grande do Sul,RS
Nova Roma do Sul,"-28,9909","-51,4144",95260-000,Rio Grande do Sul,RS
Nova Santa Rita,"-29,8327","-51,2743",92480-000,Rio Grande do Sul,RS
Novo Barreiro,"-27,8915","-53,1122",98338-000,Rio Grande do Sul,RS
Novo Cabrais,"-29,7616","-52,984",96545-000,Rio Grande do Sul,RS
Novo Hamburgo,"-29,723","-51,0567",93300-000,Rio Grande do Sul,RS
Novo Machado,"-27,5548","-54,5361",98955-000,Rio Grande do Sul,RS
Novo Tiradentes,"-27,5595","-53,1557",98370-000,Rio Grande do Sul,RS
Novo Xingu,"-27,746944","-53,055",98370-000,Rio Grande do Sul,RS
Osório,"-29,8945","-50,2347",95520-000,Rio Grande do Sul,RS
Paim Filho,"-27,7298","-51,781",99850-000,Rio Grande do Sul,RS
Palmares do Sul,"-30,3465","-50,5482",95540-000,Rio Grande do Sul,RS
Palmeira das Missões,"-27,898889","-53,313889",95540-000,Rio Grande do Sul,RS
Palmitinho,"-27,355","-53,5922",98430-000,Rio Grande do Sul,RS
Panambi,"-28,3112","-53,5542",98280-000,Rio Grande do Sul,RS
Pantano Grande,"-30,2582","-52,3417",96690-000,Rio Grande do Sul,RS
Paraí,"-28,593889","-51,785833",96690-000,Rio Grande do Sul,RS
Paraíso do Sul,"-29,733333","-53,183333",95783-000,Rio Grande do Sul,RS
Pareci Novo,"-29,6115","-51,4269",95783-000,Rio Grande do Sul,RS
Parobé,"-29,6715","-50,8567",95630-000,Rio Grande do Sul,RS
Passa Sete,"-29,4306","-52,8651",96908-000,Rio Grande do Sul,RS
Passo do Sobrado,"-29,7313","-52,2318",96685-000,Rio Grande do Sul,RS
Passo Fundo,"-28,2877","-52,4409",99000-000,Rio Grande do Sul,RS
Paulo Bento,"-27,702778","-52,420833",99000-000,Rio Grande do Sul,RS
Paverama,"-29,5956","-51,7234",95865-000,Rio Grande do Sul,RS
Pedras Altas,"-31,732778","-53,583889",95865-000,Rio Grande do Sul,RS
Pedro Osório,"-31,9576","-52,8942",96360-000,Rio Grande do Sul,RS
Pejuçara,"-28,4544","-53,6104",98270-000,Rio Grande do Sul,RS
Pelotas,"-31,771944","-52,342778",98270-000,Rio Grande do Sul,RS
Picada Café,"-29,4476","-51,1152",95175-000,Rio Grande do Sul,RS
Pinhal,"-27,5264","-53,2343",98345-000,Rio Grande do Sul,RS
Pinhal da Serra,"-27,873889","-51,17",98345-000,Rio Grande do Sul,RS
Pinhal Grande,"-29,2707","-53,3459",98150-000,Rio Grande do Sul,RS
Pinheirinho do Vale,"-27,2264","-53,6335",98435-000,Rio Grande do Sul,RS
Pinheiro Machado,"-31,4378","-53,4225",96470-000,Rio Grande do Sul,RS
Pirapó,"-28,0529","-55,2346",97885-000,Rio Grande do Sul,RS
Piratini,"-31,4166","-53,1116",96490-000,Rio Grande do Sul,RS
Planalto,"-27,328889","-53,058889",96490-000,Rio Grande do Sul,RS
Poço das Antas,"-29,4403","-51,6266",95740-000,Rio Grande do Sul,RS
Pontão,"-28,0498","-52,6374",99190-000,Rio Grande do Sul,RS
Ponte Preta,"-27,6769","-52,5174",99735-000,Rio Grande do Sul,RS
Portão,"-29,7075","-51,2357",93180-000,Rio Grande do Sul,RS
Porto Alegre,"-30,1146","-51,1639",90000-000,Rio Grande do Sul,RS
Porto Lucena,"-27,8466","-54,9606",98980-000,Rio Grande do Sul,RS
Porto Mauá,"-27,5981","-54,6577",98947-000,Rio Grande do Sul,RS
Porto Vera Cruz,"-27,7624","-54,9009",98985-000,Rio Grande do Sul,RS
Porto Xavier,"-27,9332","-55,1542",98995-000,Rio Grande do Sul,RS
Pouso Novo,"-29,1678","-52,2217",95945-000,Rio Grande do Sul,RS
Presidente Lucena,"-29,5278","-51,1929",93945-000,Rio Grande do Sul,RS
Progresso,"-29,2287","-52,3096",95925-000,Rio Grande do Sul,RS
Protásio Alves,"-28,7441","-51,4962",95345-000,Rio Grande do Sul,RS
Putinga,"-29,0478","-52,165",95975-000,Rio Grande do Sul,RS
Quaraí,"-30,2942","-56,1538",97560-000,Rio Grande do Sul,RS
Quatro Irmãos,"-27,820833","-52,438889",97560-000,Rio Grande do Sul,RS
Quevedos,"-29,3067","-54,07",98140-000,Rio Grande do Sul,RS
Quinze de Novembro,"-28,7444","-53,1165",98230-000,Rio Grande do Sul,RS
Redentora,"-27,5683","-53,6092",98550-000,Rio Grande do Sul,RS
Relvado,"-29,1267","-52,0539",95965-000,Rio Grande do Sul,RS
Restinga Seca,"-29,8271","-53,3401",97200-000,Rio Grande do Sul,RS
Rio dos Índios,"-27,2552","-52,8764",99610-000,Rio Grande do Sul,RS
Rio Grande,"-32,0781","-52,3501",96200-000,Rio Grande do Sul,RS
Rio Pardo,"-30,0418","-52,4406",96640-000,Rio Grande do Sul,RS
Riozinho,"-29,5985","-50,3923",95695-000,Rio Grande do Sul,RS
Roca Sales,"-29,2264","-51,8244",95735-000,Rio Grande do Sul,RS
Rodeio Bonito,"-27,4697","-53,1704",98360-000,Rio Grande do Sul,RS
Rolador,"-28,257778","-54,817778",98360-000,Rio Grande do Sul,RS
Rolante,"-29,6117","-50,5452",95690-000,Rio Grande do Sul,RS
Ronda Alta,"-27,8261","-52,7287",99670-000,Rio Grande do Sul,RS
Rondinha,"-27,8329","-52,9166",99590-000,Rio Grande do Sul,RS
Roque Gonzales,"-28,0567","-55,1205",97970-000,Rio Grande do Sul,RS
Rosário do Sul,"-30,3323","-55,0666",97590-000,Rio Grande do Sul,RS
Sagrada Família,"-27,7148","-53,1285",98330-000,Rio Grande do Sul,RS
Saldanha Marinho,"-28,387","-53,0958",98250-000,Rio Grande do Sul,RS
Salto do Jacuí,"-29,0421","-53,1691",99440-000,Rio Grande do Sul,RS
Salvador das Missões,"-28,077","-54,8288",97940-000,Rio Grande do Sul,RS
Salvador do Sul,"-29,4801","-51,5141",95750-000,Rio Grande do Sul,RS
Sananduva,"-27,9314","-51,8205",99840-000,Rio Grande do Sul,RS
Sant Ana do Livramento,"-30,890833","-55,532778",96590-000,Rio Grande do Sul,RS
Santa Bárbara do Sul,"-28,3743","-53,2574",98240-000,Rio Grande do Sul,RS
Santa Cecília do Sul,"-28,161944","-51,925",98240-000,Rio Grande do Sul,RS
Santa Clara do Sul,"-29,4558","-52,1436",95915-000,Rio Grande do Sul,RS
Santa Cruz do Sul,"-29,6153","-52,411",96800-000,Rio Grande do Sul,RS
Santa Margarida do Sul,"-30,34","-54,08",93995-000,Rio Grande do Sul,RS
Santa Maria,"-29,7742","-53,8276",97000-000,Rio Grande do Sul,RS
Santa Maria do Herval,"-29,4795","-50,9881",93995-000,Rio Grande do Sul,RS
Santa Rosa,"-27,8257","-54,4803",98900-000,Rio Grande do Sul,RS
Santa Tereza,"-29,1506","-51,7216",95715-000,Rio Grande do Sul,RS
Santa Vitória do Palmar,"-33,2435","-53,2235",96230-000,Rio Grande do Sul,RS
Santana da Boa Vista,"-30,762","-53,183",96590-000,Rio Grande do Sul,RS
Santiago,"-29,191944","-54,866944",96230-000,Rio Grande do Sul,RS
Santo Ângelo,"-28,2649","-54,3021",98800-000,Rio Grande do Sul,RS
Santo Antônio da Patrulha,"-29,8221","-50,5602",95500-000,Rio Grande do Sul,RS
Santo Antônio das Missões,"-28,478","-55,4088",97870-000,Rio Grande do Sul,RS
Santo Antônio do Palma,"-28,4863","-52,0193",99265-000,Rio Grande do Sul,RS
Santo Antônio do Planalto,"-28,3861","-52,6658",99525-000,Rio Grande do Sul,RS
Santo Augusto,"-27,8919","-53,7357",98590-000,Rio Grande do Sul,RS
Santo Cristo,"-27,7884","-54,7038",98960-000,Rio Grande do Sul,RS
Santo Expedito do Sul,"-27,9231","-51,6704",99895-000,Rio Grande do Sul,RS
São Borja,"-28,7638","-55,7899",97670-000,Rio Grande do Sul,RS
São Domingos do Sul,"-28,5445","-51,8733",99270-000,Rio Grande do Sul,RS
São Francisco de Assis,"-29,4309","-55,1357",97610-000,Rio Grande do Sul,RS
São Francisco de Paula,"-29,2425","-50,4493",95400-000,Rio Grande do Sul,RS
São Gabriel,"-30,335833","-54,32",95400-000,Rio Grande do Sul,RS
São Jerônimo,"-30,315","-51,9252",96700-000,Rio Grande do Sul,RS
São João da Urtiga,"-27,7968","-51,8388",99855-000,Rio Grande do Sul,RS
São João do Polêsine,"-29,6339","-53,4737",97230-000,Rio Grande do Sul,RS
São Jorge,"-28,4989","-51,7308",95365-000,Rio Grande do Sul,RS
São José das Missões,"-27,7974","-53,1296",98325-000,Rio Grande do Sul,RS
São José do Herval,"-29,0644","-52,2728",99380-000,Rio Grande do Sul,RS
São José do Hortêncio,"-29,5436","-51,2498",95755-000,Rio Grande do Sul,RS
São José do Inhacorá,"-27,7353","-54,1215",98958-000,Rio Grande do Sul,RS
São José do Norte,"-31,8009","-51,762",96225-000,Rio Grande do Sul,RS
São José do Ouro,"-27,7558","-51,5572",99870-000,Rio Grande do Sul,RS
São José do Sul,"-29,530833","-51,481944",99870-000,Rio Grande do Sul,RS
São José dos Ausentes,"-28,6831","-49,9467",95280-000,Rio Grande do Sul,RS
São Leopoldo,"-29,7425","-51,1362",93000-000,Rio Grande do Sul,RS
São Lourenço do Sul,"-31,2103","-52,0922",96170-000,Rio Grande do Sul,RS
São Luiz Gonzaga ,"-28,407778","-54,960833",96170-000,Rio Grande do Sul,RS
São Marcos,"-28,9687","-51,049",95190-000,Rio Grande do Sul,RS
São Martinho,"-27,706944","-53,968889",95190-000,Rio Grande do Sul,RS
São Martinho da Serra,"-29,4579","-53,8845",97190-000,Rio Grande do Sul,RS
São Miguel das Missões,"-28,7243","-54,5082",98865-000,Rio Grande do Sul,RS
São Nicolau,"-28,2236","-55,2559",97880-000,Rio Grande do Sul,RS
São Paulo das Missões,"-27,9621","-54,9551",97980-000,Rio Grande do Sul,RS
São Pedro da Serra,"-29,4213","-51,5144",95758-000,Rio Grande do Sul,RS
São Pedro das Missões,"-27,770833","-53,255",95758-000,Rio Grande do Sul,RS
São Pedro do Butiá,"-28,1556","-54,9034",97920-000,Rio Grande do Sul,RS
São Pedro do Sul,"-29,6229","-54,2526",97400-000,Rio Grande do Sul,RS
São Sebastião do Caí,"-29,588","-51,3479",95760-000,Rio Grande do Sul,RS
São Sepé,"-30,1598","-53,6088",97340-000,Rio Grande do Sul,RS
São Valentim,"-27,5511","-52,5872",99640-000,Rio Grande do Sul,RS
São Valentim do Sul,"-29,063","-51,7369",99240-000,Rio Grande do Sul,RS
São Valério do Sul,"-27,8123","-53,9205",98595-000,Rio Grande do Sul,RS
São Vendelino,"-29,4021","-51,3649",95795-000,Rio Grande do Sul,RS
São Vicente do Sul,"-29,7172","-54,7624",97420-000,Rio Grande do Sul,RS
Sapiranga,"-29,6251","-50,9768",93800-000,Rio Grande do Sul,RS
Sapucaia do Sul,"-29,8183","-51,1553",93200-000,Rio Grande do Sul,RS
Sarandi,"-27,9235","-52,9347",99560-000,Rio Grande do Sul,RS
Seberi,"-27,5088","-53,3648",98380-000,Rio Grande do Sul,RS
Sede Nova,"-27,6449","-53,9615",98675-000,Rio Grande do Sul,RS
Segredo,"-29,297","-52,9228",96910-000,Rio Grande do Sul,RS
Selbach,"-28,6764","-52,9824",99450-000,Rio Grande do Sul,RS
Senador Salgado Filho,"-28,0295","-54,524",98895-000,Rio Grande do Sul,RS
Sentinela do Sul,"-30,6034","-51,621",96765-000,Rio Grande do Sul,RS
Serafina Corrêa,"-28,6911","-51,9267",99250-000,Rio Grande do Sul,RS
Sério,"-29,4064","-52,2436",95918-000,Rio Grande do Sul,RS
Sertão,"-28,0041","-52,3566",99170-000,Rio Grande do Sul,RS
Sertão Santana,"-30,4911","-51,6654",92850-000,Rio Grande do Sul,RS
Sete de Setembro,"-28,1255","-54,4791",97960-000,Rio Grande do Sul,RS
Severiano de Almeida,"-27,4065","-52,1075",99810-000,Rio Grande do Sul,RS
Silveira Martins,"-29,6363","-53,5461",97195-000,Rio Grande do Sul,RS
Sinimbu,"-29,4151","-52,605",96890-000,Rio Grande do Sul,RS
Sobradinho,"-29,420833","-53,028889",96890-000,Rio Grande do Sul,RS
Soledade,"-28,8405","-52,5102",99300-000,Rio Grande do Sul,RS
Tabaí,"-29,6672","-51,728",95863-000,Rio Grande do Sul,RS
Tapejara,"-28,0643","-52,0082",99950-000,Rio Grande do Sul,RS
Tapera,"-28,6676","-52,8662",99490-000,Rio Grande do Sul,RS
Tapes,"-30,7147","-51,4164",96760-000,Rio Grande do Sul,RS
Taquara,"-29,6634","-50,7636",95600-000,Rio Grande do Sul,RS
Taquari,"-29,7289","-51,8175",95860-000,Rio Grande do Sul,RS
Taquaruçu do Sul,"-27,4072","-53,4991",98410-000,Rio Grande do Sul,RS
Tavares,"-31,2729","-51,0776",96290-000,Rio Grande do Sul,RS
Tenente Portela,"-27,3629","-53,7712",98500-000,Rio Grande do Sul,RS
Terra de Areia,"-29,585","-50,070833",98500-000,Rio Grande do Sul,RS
Teutônia,"-29,4681","-51,7714",95890-000,Rio Grande do Sul,RS
Tio Hugo,"-28,578889","-52,598889",95890-000,Rio Grande do Sul,RS
Tiradentes do Sul,"-27,3818","-54,113",98680-000,Rio Grande do Sul,RS
Toropi,"-29,4787","-54,2931",97418-000,Rio Grande do Sul,RS
Torres,"-29,2967","-49,8198",95560-000,Rio Grande do Sul,RS
Tramandaí,"-30,0398","-50,2302",95590-000,Rio Grande do Sul,RS
Travesseiro,"-29,2881","-52,0997",95948-000,Rio Grande do Sul,RS
Três Arroios,"-27,4822","-52,1837",99725-000,Rio Grande do Sul,RS
Três Cachoeiras,"-29,4753","-49,9849",95580-000,Rio Grande do Sul,RS
Três Coroas,"-29,466","-50,7768",95660-000,Rio Grande do Sul,RS
Três de Maio,"-27,7345","-54,2602",98910-000,Rio Grande do Sul,RS
Três Forquilhas,"-29,4325","-50,0834",95575-000,Rio Grande do Sul,RS
Três Palmeiras,"-27,6128","-52,8663",99675-000,Rio Grande do Sul,RS
Três Passos,"-27,4308","-53,9224",98600-000,Rio Grande do Sul,RS
Trindade do Sul,"-27,5268","-52,9135",99615-000,Rio Grande do Sul,RS
Triunfo,"-29,942778","-51,717778",99615-000,Rio Grande do Sul,RS
Tucunduva,"-27,6492","-54,4397",98930-000,Rio Grande do Sul,RS
